S.no,Date,Diary products,Meat,Drinks,Groceries,Diary sale,Meat scale,Drinks sale,Gro.scale
82,04-09-2010,5478,3084,5614,717,17365.26,19552.56,30427.88,5112.21
83,05-09-2010,5010,2834,359,1417,15881.7,17967.56,1945.78,10103.21
84,06-09-2010,3027,2584,4244,1390,9595.59,16382.56,23002.48,9910.7
85,07-09-2010,867,2795,5645,1641,2748.39,17720.3,30595.9,11700.33
86,08-09-2010,4198,2352,2762,366,13307.66,14911.68,14970.04,2609.58
87,09-09-2010,2107,3004,5320,1756,6679.19,19045.36,28834.4,12520.28
88,10-09-2010,3807,575,3085,1498,12068.19,3645.5,16720.7,10680.74
89,11-09-2010,1949,1978,4159,950,6178.33,12540.52,22541.78,6773.5
90,12-09-2010,2923,2974,784,976,9265.91,18855.16,4249.28,6958.88
91,13-09-2010,2111,1739,1049,1535,6691.87,11025.26,5685.58,10944.55
92,14-09-2010,3179,3646,4008,1088,10077.43,23115.64,21723.36,7757.44
93,15-09-2010,6653,255,554,486,21090.01,1616.7,3002.68,3465.18
94,16-09-2010,4008,2164,1959,1189,12705.36,13719.76,10617.78,8477.57
95,17-09-2010,6950,2226,5834,1493,22031.5,14112.84,31620.28,10645.09
96,18-09-2010,1284,1287,3272,1777,4070.28,8159.58,17734.24,12670.01
97,19-09-2010,949,550,4564,1850,3008.33,3487,24736.88,13190.5
98,20-09-2010,5573,2502,4367,384,17666.41,15862.68,23669.14,2737.92
99,21-09-2010,7043,713,532,1209,22326.31,4520.42,2883.44,8620.17
100,22-09-2010,4505,3078,2148,800,14280.85,19514.52,11642.16,5704
101,23-09-2010,2073,3807,5311,490,6571.41,24136.38,28785.62,3493.7
102,24-09-2010,4845,1556,1016,1511,15358.65,9865.04,5506.72,10773.43
103,25-09-2010,4094,2181,3800,1805,12977.98,13827.54,20596,12869.65
104,26-09-2010,3953,1298,3332,1634,12531.01,8229.32,18059.44,11650.42
105,27-09-2010,2596,1820,760,1253,8229.32,11538.8,4119.2,8933.89
106,28-09-2010,1068,2055,715,1087,3385.56,13028.7,3875.3,7750.31
107,29-09-2010,5110,3370,1228,1871,16198.7,21365.8,6655.76,13340.23
108,30-09-2010,7642,3158,414,656,24225.14,20021.72,2243.88,4677.28
109,31-9-2010,4986,342,4978,558,15805.62,2168.28,26980.76,3978.54
110,01-10-2010,4430,1942,3211,1751,14043.1,12312.28,17403.62,12484.63
111,02-10-2010,758,1656,2788,1632,2402.86,10499.04,15110.96,11636.16
112,03-10-2010,7257,3804,2304,1282,23004.69,24117.36,12487.68,9140.66
113,04-10-2010,4152,2432,3931,542,13161.84,15418.88,21306.02,3864.46
114,05-10-2010,2994,910,283,1897,9490.98,5769.4,1533.86,13525.61
115,06-10-2010,3527,2557,3183,441,11180.59,16211.38,17251.86,3144.33
116,07-10-2010,387,3515,3485,545,1226.79,22285.1,18888.7,3885.85
117,08-10-2010,5205,3146,2376,1708,16499.85,19945.64,12877.92,12178.04
118,09-10-2010,854,1533,3331,1363,2707.18,9719.22,18054.02,9718.19
119,10-10-2010,7329,406,257,1314,23232.93,2574.04,1392.94,9368.82
120,11-10-2010,6253,2602,3013,1255,19822.01,16496.68,16330.46,8948.15
121,12-10-2010,5431,1654,764,1048,17216.27,10486.36,4140.88,7472.24
122,13-10-2010,5041,2762,3532,438,15979.97,17511.08,19143.44,3122.94
123,14-10-2010,7259,2642,3644,1464,23011.03,16750.28,19750.48,10438.32
124,15-10-2010,3736,3621,5216,724,11843.12,22957.14,28270.72,5162.12
125,16-10-2010,6013,1389,4931,365,19061.21,8806.26,26726.02,2602.45
126,17-10-2010,2772,1663,475,1941,8787.24,10543.42,2574.5,13839.33
127,18-10-2010,1723,2129,2859,1682,5461.91,13497.86,15495.78,11992.66
128,19-10-2010,1185,581,2327,1816,3756.45,3683.54,12612.34,12948.08
129,20-10-2010,6476,3436,4327,1567,20528.92,21784.24,23452.34,11172.71
130,21-10-2010,3985,1065,703,1285,12632.45,6752.1,3810.26,9162.05
131,22-10-2010,573,1265,4389,451,1816.41,8020.1,23788.38,3215.63
132,23-10-2010,5880,1732,3704,1591,18639.6,10980.88,20075.68,11343.83
133,24-10-2010,6149,3407,4939,736,19492.33,21600.38,26769.38,5247.68
134,25-10-2010,6080,1441,3773,417,19273.6,9135.94,20449.66,2973.21
135,26-10-2010,7940,3131,3323,323,25169.8,19850.54,18010.66,2302.99
136,27-10-2010,828,3871,4768,1071,2624.76,24542.14,25842.56,7636.23
137,28-10-2010,5866,1038,2354,624,18595.22,6580.92,12758.68,4449.12
138,29-10-2010,4721,1229,4707,739,14965.57,7791.86,25511.94,5269.07
139,30-10-2010,5506,3452,1307,422,17454.02,21885.68,7083.94,3008.86
140,01-11-2010,3975,1068,5004,1564,12600.75,6771.12,27121.68,11151.32
141,02-11-2010,1498,1525,2722,1276,4748.66,9668.5,14753.24,9097.88
142,03-11-2010,6869,3258,4863,337,21774.73,20655.72,26357.46,2402.81
143,04-11-2010,6130,3208,1974,1085,19432.1,20338.72,10699.08,7736.05
144,05-11-2010,7366,3767,3366,355,23350.22,23882.78,18243.72,2531.15
145,06-11-2010,4671,1956,655,900,14807.07,12401.04,3550.1,6417
146,07-11-2010,1719,1221,5147,1499,5449.23,7741.14,27896.74,10687.87
147,08-11-2010,4330,3818,697,401,13726.1,24206.12,3777.74,2859.13
148,09-11-2010,2633,652,1869,1682,8346.61,4133.68,10129.98,11992.66
149,10-11-2010,1708,3881,2933,576,5414.36,24605.54,15896.86,4106.88
150,11-11-2010,833,352,3143,363,2640.61,2231.68,17035.06,2588.19
151,12-11-2010,5185,3088,4103,355,16436.45,19577.92,22238.26,2531.15
152,13-11-2010,4865,3951,5405,975,15422.05,25049.34,29295.1,6951.75
153,14-11-2010,302,3568,2467,1238,957.34,22621.12,13371.14,8826.94
154,15-11-2010,7506,3191,438,1481,23794.02,20230.94,2373.96,10559.53
155,16-11-2010,948,3510,3475,1478,3005.16,22253.4,18834.5,10538.14
156,17-11-2010,2047,2179,2797,1064,6488.99,13814.86,15159.74,7586.32
157,18-11-2010,3100,2064,1988,712,9827,13085.76,10774.96,5076.56
158,19-11-2010,6094,1287,4889,1795,19317.98,8159.58,26498.38,12798.35
159,20-11-2010,3837,1440,3623,518,12163.29,9129.6,19636.66,3693.34
160,21-11-2010,7427,2519,831,1182,23543.59,15970.46,4504.02,8427.66
161,22-11-2010,2324,357,2214,335,7367.08,2263.38,11999.88,2388.55
162,23-11-2010,648,2866,5649,1474,2054.16,18170.44,30617.58,10509.62
163,24-11-2010,2555,3417,3839,1345,8099.35,21663.78,20807.38,9589.85
164,25-11-2010,1969,1090,4935,1615,6241.73,6910.6,26747.7,11514.95
165,26-11-2010,398,976,4694,355,1261.66,6187.84,25441.48,2531.15
166,27-11-2010,4036,3114,3744,498,12794.12,19742.76,20292.48,3550.74
167,28-11-2010,1804,2575,5852,1478,5718.68,16325.5,31717.84,10538.14
168,29-11-2010,6997,3913,5577,1827,22180.49,24808.42,30227.34,13026.51
169,30-11-2010,1655,2876,4278,1361,5246.35,18233.84,23186.76,9703.93
170,31-11-2010,4632,3930,523,1581,14683.44,24916.2,2834.66,11272.53
171,01-12-2010,1736,911,405,1682,5503.12,5775.74,2195.1,11992.66
172,02-12-2010,6374,1409,5807,1056,20205.58,8933.06,31473.94,7529.28
173,03-12-2010,969,2566,716,1478,3071.73,16268.44,3880.72,10538.14
174,04-12-2010,3556,3903,5729,637,11272.52,24745.02,31051.18,4541.81
175,05-12-2010,1596,3228,351,1825,5059.32,20465.52,1902.42,13012.25
176,06-12-2010,5138,3926,4864,256,16287.46,24890.84,26362.88,1825.28
177,07-12-2010,6821,2510,3503,597,21622.57,15913.4,18986.26,4256.61
178,08-12-2010,5877,1567,4069,636,18630.09,9934.78,22053.98,4534.68
179,09-12-2010,5135,1774,1870,652,16277.95,11247.16,10135.4,4648.76
180,10-12-2010,5244,2991,3217,1910,16623.48,18962.94,17436.14,13618.3
181,11-12-2010,2610,3664,4707,728,8273.7,23229.76,25511.94,5190.64
182,12-12-2010,4116,3549,4374,1179,13047.72,22500.66,23707.08,8406.27
183,13-12-2010,5843,2283,4160,1239,18522.31,14474.22,22547.2,8834.07
184,14-12-2010,5274,978,3655,1788,16718.58,6200.52,19810.1,12748.44
185,15-12-2010,2143,1253,3742,329,6793.31,7944.02,20281.64,2345.77
186,16-12-2010,7014,2877,2129,1012,22234.38,18240.18,11539.18,7215.56
187,17-12-2010,4408,692,3389,434,13973.36,4387.28,18368.38,3094.42
188,18-12-2010,5578,2699,2917,960,17682.26,17111.66,15810.14,6844.8
189,19-12-2010,5930,1998,3351,268,18798.1,12667.32,18162.42,1910.84
190,20-12-2010,3619,575,1983,1372,11472.23,3645.5,10747.86,9782.36
191,21-12-2010,575,1261,5039,1056,1822.75,7994.74,27311.38,7529.28
192,22-12-2010,7064,3919,2005,1893,22392.88,24846.46,10867.1,13497.09
193,23-12-2010,651,3418,5831,1018,2063.67,21670.12,31604.02,7258.34
194,24-12-2010,5006,752,4432,706,15869.02,4767.68,24021.44,5033.78
195,25-12-2010,374,970,511,1005,1185.58,6149.8,2769.62,7165.65
196,26-12-2010,3398,1524,5864,725,10771.66,9662.16,31782.88,5169.25
197,27-12-2010,7935,1473,5052,1955,25153.95,9338.82,27381.84,13939.15
198,28-12-2010,2801,1773,2744,1810,8879.17,11240.82,14872.48,12905.3
199,29-12-2010,6443,1773,3781,942,20424.31,11240.82,20493.02,6716.46
200,30-12-2010,6216,3519,5529,1807,19704.72,22310.46,29967.18,12883.91
201,01-01-2011,281,3956,4186,1537,890.77,25081.04,22688.12,10958.81
202,02-01-2011,7665,1350,4266,1789,24298.05,8559,23121.72,12755.57
203,03-01-2011,937,3758,4311,314,2970.29,23825.72,23365.62,2238.82
204,04-01-2011,6378,968,4530,995,20218.26,6137.12,24552.6,7094.35
205,05-01-2011,731,2174,5908,1505,2317.27,13783.16,32021.36,10730.65
206,06-01-2011,2032,3556,349,815,6441.44,22545.04,1891.58,5810.95
207,07-01-2011,1514,3321,5699,1371,4799.38,21055.14,30888.58,9775.23
208,08-01-2011,410,865,2384,1502,1299.7,5484.1,12921.28,10709.26
209,09-01-2011,489,3673,3283,522,1550.13,23286.82,17793.86,3721.86
210,10-01-2011,1326,2810,4408,1535,4203.42,17815.4,23891.36,10944.55
211,11-01-2011,2535,3027,4185,1219,8035.95,19191.18,22682.7,8691.47
212,12-01-2011,351,3737,1581,986,1112.67,23692.58,8569.02,7030.18
213,13-01-2011,2480,676,5982,475,7861.6,4285.84,32422.44,3386.75
214,14-01-2011,408,2952,3147,1635,1293.36,18715.68,17056.74,11657.55
215,15-01-2011,2428,1279,4992,452,7696.76,8108.86,27056.64,3222.76
216,16-01-2011,1593,2972,409,343,5049.81,18842.48,2216.78,2445.59
217,17-01-2011,5324,1418,3883,687,16877.08,8990.12,21045.86,4898.31
218,18-01-2011,2623,586,385,1651,8314.91,3715.24,2086.7,11771.63
219,19-01-2011,3082,357,4745,1805,9769.94,2263.38,25717.9,12869.65
220,20-01-2011,562,3519,1232,864,1781.54,22310.46,6677.44,6160.32
221,21-01-2011,7642,2224,5279,651,24225.14,14100.16,28612.18,4641.63
222,22-01-2011,4351,2127,1694,508,13792.67,13485.18,9181.48,3622.04
223,23-01-2011,6487,426,3380,1576,20563.79,2700.84,18319.6,11236.88
224,24-01-2011,2604,821,586,1567,8254.68,5205.14,3176.12,11172.71
225,25-01-2011,7652,339,1610,377,24256.84,2149.26,8726.2,2688.01
226,26-01-2011,295,762,2728,477,935.15,4831.08,14785.76,3401.01
227,27-01-2011,1486,2309,3206,975,4710.62,14639.06,17376.52,6951.75
228,28-01-2011,2002,1770,709,1363,6346.34,11221.8,3842.78,9718.19
229,29-01-2011,6688,1529,2796,1808,21200.96,9693.86,15154.32,12891.04
230,30-01-2011,5943,2206,5708,1427,18839.31,13986.04,30937.36,10174.51
231,31-01-2011,939,3325,1863,1612,2976.63,21080.5,10097.46,11493.56
232,01-02-2011,7590,1909,3479,960,24060.3,12103.06,18856.18,6844.8
233,02-02-2011,1914,3478,3420,1373,6067.38,22050.52,18536.4,9789.49
234,03-02-2011,2559,674,5250,1171,8112.03,4273.16,28455,8349.23
235,04-02-2011,1887,3763,4099,858,5981.79,23857.42,22216.58,6117.54
236,05-02-2011,4925,3326,3186,1174,15612.25,21086.84,17268.12,8370.62
237,06-02-2011,1814,3589,1183,1581,5750.38,22754.26,6411.86,11272.53
238,07-02-2011,513,2802,5147,890,1626.21,17764.68,27896.74,6345.7
239,08-02-2011,2717,496,1777,1875,8612.89,3144.64,9631.34,13368.75
240,09-02-2011,3652,2629,1739,1835,11576.84,16667.86,9425.38,13083.55
241,10-02-2011,3072,762,2218,449,9738.24,4831.08,12021.56,3201.37
242,11-02-2011,1912,2167,5992,891,6061.04,13738.78,32476.64,6352.83
243,12-02-2011,1003,578,1188,1549,3179.51,3664.52,6438.96,11044.37
244,13-02-2011,7652,1813,4636,990,24256.84,11494.42,25127.12,7058.7
245,14-02-2011,1845,799,4669,1012,5848.65,5065.66,25305.98,7215.56
246,15-02-2011,1601,2924,4384,1480,5075.17,18538.16,23761.28,10552.4
247,16-02-2011,3735,266,5017,1574,11839.95,1686.44,27192.14,11222.62
248,17-02-2011,5129,3374,258,631,16258.93,21391.16,1398.36,4499.03
249,18-02-2011,299,1945,5483,1527,947.83,12331.3,29717.86,10887.51
250,19-02-2011,6216,3625,5546,961,19704.72,22982.5,30059.32,6851.93
251,20-02-2011,1953,3677,2640,1219,6191.01,23312.18,14308.8,8691.47
252,21-02-2011,5691,2610,595,1462,18040.47,16547.4,3224.9,10424.06
253,22-02-2011,5590,2418,1327,575,17720.3,15330.12,7192.34,4099.75
254,23-02-2011,1402,1086,2256,1138,4444.34,6885.24,12227.52,8113.94
255,24-02-2011,3491,2529,3646,1872,11066.47,16033.86,19761.32,13347.36
256,25-02-2011,6231,3713,916,564,19752.27,23540.42,4964.72,4021.32
257,26-02-2011,6113,3831,4455,1969,19378.21,24288.54,24146.1,14038.97
258,27-02-2011,1464,3861,2510,1841,4640.88,24478.74,13604.2,13126.33
259,28-02-2011,3338,3434,4400,1571,10581.46,21771.56,23848,11201.23
260,01-03-2011,5454,998,2637,1233,17289.18,6327.32,14292.54,8791.29
261,02-03-2011,7204,811,5885,475,22836.68,5141.74,31896.7,3386.75
262,03-03-2011,7588,1054,1370,395,24053.96,6682.36,7425.4,2816.35
263,04-03-2011,4454,1135,5698,270,14119.18,7195.9,30883.16,1925.1
264,05-03-2011,4281,524,593,1970,13570.77,3322.16,3214.06,14046.1
265,06-03-2011,2297,270,3216,1964,7281.49,1711.8,17430.72,14003.32
266,07-03-2011,1846,1503,2769,1700,5851.82,9529.02,15007.98,12121
267,08-03-2011,6073,1068,1075,596,19251.41,6771.12,5826.5,4249.48
268,09-03-2011,6109,3729,5224,1681,19365.53,23641.86,28314.08,11985.53
269,10-03-2011,6477,3178,747,822,20532.09,20148.52,4048.74,5860.86
270,11-03-2011,6226,2493,3489,751,19736.42,15805.62,18910.38,5354.63
271,12-03-2011,2626,1626,1794,1725,8324.42,10308.84,9723.48,12299.25
272,13-03-2011,6693,2292,5488,1078,21216.81,14531.28,29744.96,7686.14
273,14-03-2011,1698,509,620,1221,5382.66,3227.06,3360.4,8705.73
274,15-03-2011,3982,3468,3067,487,12622.94,21987.12,16623.14,3472.31
275,16-03-2011,1645,3966,4044,1626,5214.65,25144.44,21918.48,11593.38
276,17-03-2011,5848,1072,2651,337,18538.16,6796.48,14368.42,2402.81
277,18-03-2011,824,1263,1278,1826,2612.08,8007.42,6926.76,13019.38
278,19-03-2011,1342,3246,4990,1546,4254.14,20579.64,27045.8,11022.98
279,20-03-2011,581,883,1833,718,1841.77,5598.22,9934.86,5119.34
280,21-03-2011,1906,1021,5985,1411,6042.02,6473.14,32438.7,10060.43
281,22-03-2011,7910,1290,2715,1375,25074.7,8178.6,14715.3,9803.75
282,23-03-2011,2320,983,505,633,7354.4,6232.22,2737.1,4513.29
283,24-03-2011,7283,3595,5422,747,23087.11,22792.3,29387.24,5326.11
284,25-03-2011,2316,2964,1346,315,7341.72,18791.76,7295.32,2245.95
285,26-03-2011,6993,2134,2058,427,22167.81,13529.56,11154.36,3044.51
286,27-03-2011,4148,3816,2449,1163,13149.16,24193.44,13273.58,8292.19
287,28-03-2011,5076,2352,1230,1550,16090.92,14911.68,6666.6,11051.5
288,29-03-2011,7922,2889,4665,356,25112.74,18316.26,25284.3,2538.28
289,30-03-2011,1174,3980,4739,1168,3721.58,25233.2,25685.38,8327.84
290,31-03-2011,464,2220,421,1663,1470.88,14074.8,2281.82,11857.19
291,01-04-2011,4176,1068,1958,1985,13237.92,6771.12,10612.36,14153.05
292,02-04-2011,1314,3826,1653,1874,4165.38,24256.84,8959.26,13361.62
293,03-04-2011,1947,2925,4086,1794,6171.99,18544.5,22146.12,12791.22
294,04-04-2011,2226,3245,1005,746,7056.42,20573.3,5447.1,5318.98
295,05-04-2011,3159,1842,1408,421,10014.03,11678.28,7631.36,3001.73
296,06-04-2011,6244,3283,2935,395,19793.48,20814.22,15907.7,2816.35
297,07-04-2011,7436,1300,3444,1945,23572.12,8242,18666.48,13867.85
298,08-04-2011,6742,2425,4512,1168,21372.14,15374.5,24455.04,8327.84
299,09-04-2011,483,507,2413,1389,1531.11,3214.38,13078.46,9903.57
300,10-04-2011,3840,617,1239,1696,12172.8,3911.78,6715.38,12092.48
301,11-04-2011,2471,1187,5553,1572,7833.07,7525.58,30097.26,11208.36
302,12-04-2011,2651,1807,3716,701,8403.67,11456.38,20140.72,4998.13
303,13-04-2011,3096,1732,2198,607,9814.32,10980.88,11913.16,4327.91
304,14-04-2011,2764,641,743,263,8761.88,4063.94,4027.06,1875.19
305,15-04-2011,1836,698,5337,1119,5820.12,4425.32,28926.54,7978.47
306,16-04-2011,4836,1505,5600,519,15330.12,9541.7,30352,3700.47
307,17-04-2011,2900,1512,2201,1641,9193,9586.08,11929.42,11700.33
308,18-04-2011,2501,3322,4078,1683,7928.17,21061.48,22102.76,11999.79
309,19-04-2011,610,2304,2971,1657,1933.7,14607.36,16102.82,11814.41
310,20-04-2011,2319,3222,704,1208,7351.23,20427.48,3815.68,8613.04
311,21-04-2011,7155,1511,3626,662,22681.35,9579.74,19652.92,4720.06
312,22-04-2011,1433,2490,1664,1475,4542.61,15786.6,9018.88,10516.75
313,23-04-2011,697,788,5433,1872,2209.49,4995.92,29446.86,13347.36
314,24-04-2011,6149,2464,2089,689,19492.33,15621.76,11322.38,4912.57
315,25-04-2011,5382,3474,4141,464,17060.94,22025.16,22444.22,3308.32
316,26-04-2011,6956,1828,3164,1630,22050.52,11589.52,17148.88,11621.9
317,27-04-2011,4706,2361,1328,1837,14918.02,14968.74,7197.76,13097.81
318,28-04-2011,6323,287,2077,1959,20043.91,1819.58,11257.34,13967.67
319,29-04-2011,7336,3888,5703,847,23255.12,24649.92,30910.26,6039.11
320,30-04-2011,1214,2287,684,1611,3848.38,14499.58,3707.28,11486.43
321,01-05-2011,4192,3280,5368,1142,13288.64,20795.2,29094.56,8142.46
322,02-05-2011,6271,3108,5218,335,19879.07,19704.72,28281.56,2388.55
323,03-05-2011,5365,478,5777,253,17007.05,3030.52,31311.34,1803.89
324,04-05-2011,7103,2609,2302,551,22516.51,16541.06,12476.84,3928.63
325,05-05-2011,7786,2542,5509,1384,24681.62,16116.28,29858.78,9867.92
326,06-05-2011,7331,690,5113,1834,23239.27,4374.6,27712.46,13076.42
327,07-05-2011,7574,251,3805,1098,24009.58,1591.34,20623.1,7828.74
328,08-05-2011,3354,3891,2568,581,10632.18,24668.94,13918.56,4142.53
329,09-05-2011,4439,3955,3710,528,14071.63,25074.7,20108.2,3764.64
330,10-05-2011,2605,2211,4858,518,8257.85,14017.74,26330.36,3693.34
331,11-05-2011,504,1439,3041,1606,1597.68,9123.26,16482.22,11450.78
332,12-05-2011,6064,2151,3480,1228,19222.88,13637.34,18861.6,8755.64
333,13-05-2011,7826,1678,716,634,24808.42,10638.52,3880.72,4520.42
334,14-05-2011,6499,2546,2963,1103,20601.83,16141.64,16059.46,7864.39
335,15-05-2011,1946,3626,4299,1586,6168.82,22988.84,23300.58,11308.18
336,16-05-2011,1942,2412,3651,377,6156.14,15292.08,19788.42,2688.01
337,17-05-2011,5544,3039,4246,1187,17574.48,19267.26,23013.32,8463.31
338,18-05-2011,5920,423,1180,1834,18766.4,2681.82,6395.6,13076.42
339,19-05-2011,5632,3975,4771,1181,17853.44,25201.5,25858.82,8420.53
340,20-05-2011,1152,287,1929,301,3651.84,1819.58,10455.18,2146.13
341,21-05-2011,1216,2236,5667,1499,3854.72,14176.24,30715.14,10687.87
342,22-05-2011,2151,2213,3555,1979,6818.67,14030.42,19268.1,14110.27
343,23-05-2011,3941,3098,282,590,12492.97,19641.32,1528.44,4206.7
344,24-05-2011,6413,986,3012,790,20329.21,6251.24,16325.04,5632.7
345,25-05-2011,733,951,620,298,2323.61,6029.34,3360.4,2124.74
346,26-05-2011,2582,3386,4222,1143,8184.94,21467.24,22883.24,8149.59
